ObjectID,State,County/Parish,Year,Overall_SPB_PerDay,Overall_Clerids_PerDay,x,y
663,Texas,Sabine,2020,0,1.6,-93.8982,31.5436
664,Texas,Sabine,2020,0,1.3,-93.9249,31.26014
665,Texas,Sabine,2020,0,2,-93.85427,31.16658
666,Texas,Sabine,2020,0,2.4,-93.72642,31.2648
667,South Carolina,Saluda,2020,0,0,-81.930833,33.993611
668,South Carolina,Saluda,2020,0,0,-81.795833,34.011944
669,South Carolina,Saluda,2020,0,0,-81.565833,34.041111
670,Arkansas,Union,2020,0,1.9,-92.75408074,33.21932816
671,Georgia,Tattnall,2020,0.2,1.6,-82.09237515,31.92460633
672,Arkansas,Union,2020,0,0.8,-92.69045376,33.02578153
673,Georgia,Toombs,2020,0.1,3.3,-82.23296783,31.95386182
674,Georgia,Toombs,2020,0.1,2,-82.37565013,31.97616535
675,Arkansas,Columbia,2020,0,1.2,-93.36167888,33.16432833
676,Arkansas,Ashley,2020,0,0.3,-91.7688767,33.30924424
